report,sym,cohort,key,full_role,n_windows,agree_frac,window_roles,counterparty_set_stability,spec_set_stability,stable_enough
tff,DX,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.357,0.457,False
tff,ES,Dealer,dealer,NEUTRAL,70,0.343,SPEC:30 NEUTRAL:24 COUNTERPARTY:16,0.343,0.571,False
tff,ES,AssetMgr,asset_manager,SPEC,70,1.0,SPEC:70,0.343,0.571,False
tff,ES,LevFund,leveraged,COUNTERPARTY,70,0.986,COUNTERPARTY:69 NEUTRAL:1,0.343,0.571,False
tff,ES,Other,other_reportable,inert,70,0.186,COUNTERPARTY:30 NEUTRAL:27 inert:13,0.343,0.571,False
tff,ES,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.343,0.571,False
tff,ETH,Dealer,dealer,SPEC,11,0.636,SPEC:7 NEUTRAL:4,0.273,0.636,False
tff,ETH,AssetMgr,asset_manager,SPEC,11,1.0,SPEC:11,0.273,0.636,False
tff,ETH,LevFund,leveraged,COUNTERPARTY,11,1.0,COUNTERPARTY:11,0.273,0.636,False
tff,ETH,Other,other_reportable,inert,11,0.273,COUNTERPARTY:8 inert:3,0.273,0.636,False
tff,ETH,NonRep,nonreportable,RETAIL,11,1.0,RETAIL:11,0.273,0.636,False
tff,NQ,Dealer,dealer,COUNTERPARTY,70,0.486,COUNTERPARTY:34 NEUTRAL:26 SPEC:10,0.471,0.443,False
tff,NQ,AssetMgr,asset_manager,SPEC,70,1.0,SPEC:70,0.471,0.443,False
tff,NQ,LevFund,leveraged,NEUTRAL,70,0.3,COUNTERPARTY:26 SPEC:23 NEUTRAL:21,0.471,0.443,False
tff,NQ,Other,other_reportable,inert,70,0.671,inert:47 NEUTRAL:17 SPEC:6,0.471,0.443,False
tff,NQ,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.471,0.443,False
tff,RTY,Dealer,dealer,COUNTERPARTY,70,0.986,COUNTERPARTY:69 NEUTRAL:1,0.657,0.914,True
tff,RTY,AssetMgr,asset_manager,SPEC,70,1.0,SPEC:70,0.657,0.914,True
tff,RTY,LevFund,leveraged,NEUTRAL,70,0.6,NEUTRAL:42 COUNTERPARTY:22 SPEC:6,0.657,0.914,True
tff,RTY,Other,other_reportable,inert,70,0.7,inert:49 NEUTRAL:11 COUNTERPARTY:10,0.657,0.914,True
tff,RTY,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.657,0.914,True
tff,YM,Dealer,dealer,NEUTRAL,70,0.486,NEUTRAL:34 COUNTERPARTY:31 SPEC:5,0.457,0.586,False
tff,YM,AssetMgr,asset_manager,SPEC,70,0.929,SPEC:65 NEUTRAL:4 inert:1,0.457,0.586,False
tff,YM,LevFund,leveraged,NEUTRAL,70,0.657,NEUTRAL:46 SPEC:22 COUNTERPARTY:2,0.457,0.586,False
tff,YM,Other,other_reportable,inert,70,0.686,inert:48 NEUTRAL:16 COUNTERPARTY:6,0.457,0.586,False
tff,YM,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.457,0.586,False
tff,ZB,Dealer,dealer,COUNTERPARTY,70,0.714,COUNTERPARTY:50 NEUTRAL:17 inert:3,0.414,0.5,False
tff,ZB,AssetMgr,asset_manager,SPEC,70,0.6,SPEC:42 NEUTRAL:28,0.414,0.5,False
tff,ZB,LevFund,leveraged,NEUTRAL,70,0.571,NEUTRAL:40 COUNTERPARTY:23 SPEC:7,0.414,0.5,False
tff,ZB,Other,other_reportable,NEUTRAL,70,0.543,NEUTRAL:38 inert:20 COUNTERPARTY:11 SPEC:1,0.414,0.5,False
tff,ZB,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.414,0.5,False
tff,ZF,Dealer,dealer,COUNTERPARTY,70,0.757,COUNTERPARTY:53 NEUTRAL:15 inert:2,0.329,0.657,False
tff,ZF,AssetMgr,asset_manager,SPEC,70,0.657,SPEC:46 NEUTRAL:24,0.329,0.657,False
tff,ZF,LevFund,leveraged,NEUTRAL,70,0.557,NEUTRAL:39 COUNTERPARTY:31,0.329,0.657,False
tff,ZF,Other,other_reportable,inert,70,0.029,NEUTRAL:43 COUNTERPARTY:25 inert:2,0.329,0.657,False
tff,ZF,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.329,0.657,False
tff,ZN,Dealer,dealer,NEUTRAL,70,0.286,COUNTERPARTY:38 NEUTRAL:20 SPEC:12,0.171,0.729,False
tff,ZN,AssetMgr,asset_manager,SPEC,70,0.743,SPEC:52 NEUTRAL:18,0.171,0.729,False
tff,ZN,LevFund,leveraged,NEUTRAL,70,0.414,COUNTERPARTY:35 NEUTRAL:29 SPEC:6,0.171,0.729,False
tff,ZN,Other,other_reportable,COUNTERPARTY,70,0.571,COUNTERPARTY:40 NEUTRAL:23 inert:7,0.171,0.729,False
tff,ZN,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.171,0.729,False
tff,ZT,Dealer,dealer,NEUTRAL,70,0.329,COUNTERPARTY:47 NEUTRAL:23,0.171,0.343,False
tff,ZT,AssetMgr,asset_manager,NEUTRAL,70,0.529,NEUTRAL:37 SPEC:26 COUNTERPARTY:7,0.171,0.343,False
tff,ZT,LevFund,leveraged,NEUTRAL,70,0.743,NEUTRAL:52 SPEC:18,0.171,0.343,False
tff,ZT,Other,other_reportable,NEUTRAL,70,0.771,NEUTRAL:54 COUNTERPARTY:14 SPEC:2,0.171,0.343,False
tff,ZT,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.171,0.343,False
